symbol,example,note
!,n!
\!,a\!b
\mathscr,"\mathscr{AaBb123}
KaTeX supports A-Z"
\mathsf,\mathsf{AaBb123}
\mathsterling,
\mathstrut,
\mathtip,
\mathtt,\mathtt{AaBb123}
\matrix,,"See {matrix}"
{matrix},"\begin{matrix}
   a & b \\
   c & d
\end{matrix}"
\max,
\mbox,
\measuredangle,
\medspace,a\medspace b
\mho,
\mid,
\middle,P\left(A\middle\vert B\right)
\min,
\mit,,"See \mathit"
\mkern,a\mkern18mu b
\mmlToken,
\mod,3\equiv 5 \mod 2
\models,
\moveleft,
\moveright,
\mp,
\mskip,a\mskip{10mu}b
\mspace,
\Mu,
\mu,
\multicolumn,,"<a href='https://github.com/Khan/KaTeX/issues/269' target='_blank'>Issue #269</a>"
{multiline},
\multimap,
\N,,"See \Bbb{N}"
\nabla,
\natnums,
\natural,
\negmedspace,a\negmedspace b
\ncong,
\ne,
\nearrow,
\neg,
\negthickspace,a\negthickspace b
\negthinspace,a\negthinspace b
\neq,
\newcommand,\newcommand\chk{\checkmark} \chk
\newenvironment,,"<a href='https://github.com/Khan/KaTeX/issues/37' target='_blank'>Issue #37</a>"
\Newextarrow,
\newline,a\newline b
\nexists,
\ngeq,
\ngeqq,
\ngeqslant,
\ngtr,
\ni,
\nleftarrow,
\nLeftarrow,
\nLeftrightarrow,
\nleftrightarrow,
\nleq,
\nleqq,
\nleqslant,
\nless,
\nmid,
\nobreak,
\nobreakspace,a\nobreakspace b
\nolimits,\lim\nolimits_x
\normalsize,\normalsize normalsize
\not,\not =
\notag,
\notin,
\notni,
\nparallel,
\nprec,
\npreceq,
\nRightarrow,
\nrightarrow,
\nshortmid,
\nshortparallel,
\nsim,
\nsubseteq,
\nsubseteqq,
\nsucc,
\nsucceq,
\nsupseteq,
\nsupseteqq,
\ntriangleleft,
\ntrianglelefteq,
\ntriangleright,
\ntrianglerighteq,
\Nu,
\nu,
\nVDash,
\nVdash,
\nvDash,
\nvdash,
\nwarrow,
\O,\text{\O}
\o,\text{\o}
\odot,
\OE,\text{\OE}
\oe,\text{\oe}
\officialeuro,
\oiiint,,"In master"
\oiint,,"In master"
\oint,
\oldstyle,
\omega,
\Omega,
\Omicron,
\omicron,
\ominus,
\operatorname,\operatorname{asin} x
\operatorname*,,"<a href='https://github.com/Khan/KaTeX/issues/1242' target='_blank'>Issue #1242</a>"
\oplus,
\or,
\oslash,
\otimes,
\over,{a+1 \over b+2}+c
\overbrace,\overbrace{x+⋯+x}^{n\text{ times}}
\overbracket,
\overgroup,\overgroup{AB}
\overleftarrow,\overleftarrow{AB}
\overleftharpoon,\overleftharpoon{AB}
\overleftrightarrow,\overleftrightarrow{AB}
\overline,\overline{\text{a long argument}}
\overlinesegment,\overlinesegment{AB}
\overparen,,"See \overgroup"
\Overrightarrow,\Overrightarrow{AB}
\overrightarrow,\overrightarrow{AB}
\overrightharpoon,\overrightharpoon{ac}
\overset,\overset{!}{=}
\overwithdelims,
\owns,
\P,\text{\P}
\pagecolor,
\parallel,
\part,
\partial,
\perp,
\phantom,\Gamma^{\phantom{i}j}_{i\phantom{j}k}
\phase,
\Phi,
\phi,
\Pi,
\pi,
{picture},
\pitchfork,
\plusmn,
\pm,
\pmatrix,,"See {pmatrix}"
{pmatrix},"\begin{pmatrix}
   a & b \\
   c & d
\end{pmatrix}"
\pmb,,"In master"
\pmod,x\pmod a
\pod,x \pod a
\pounds,
\Pr,
\prec,
\precapprox,
\preccurlyeq,
\preceq,
\precnapprox,
\precneqq,
\precnsim,
\precsim,
\prime,
\prod,
\projlim,
\propto,
\providecommand,\providecommand\greet{\text{Hello}} \greet
\psi,
\Psi,
\pu,,"A PR is pending"
\Q,,"See \Bbb{Q}"
\qquad,a\qquad\qquad{b}
\quad,a\quad\quad{b}
\R,,"See \Bbb{R}"
\r,\text{\r{a}}
\raise,,"see \raisebox"
\raisebox,h\raisebox{2pt}{ighe}r
\rang,,"see \rangle"
\rangle,
\Rarr,
\rArr,
\rarr,
\rbrace,
\rbrack,
\rceil,
\Re,
\real,
\Reals,
\reals,
\ref,,"<a href='https://github.com/Khan/KaTeX/issues/350' target='_blank'>Issue #350</a>"
\relax,
\renewcommand,"\def\hail{Hi!}
\renewcommand\hail{\text{Ahoy!}} \hail"
\renewenvironment,
\require,
\restriction,
\rfloor,
\rgroup,
\rhd,
\Rho,
\rho,
\right,\left.\dfrac a b\right)
\Rightarrow,
\rightarrow,
\rightarrowtail,
\rightharpoondown,
\rightharpoonup,
\rightleftarrows,
\rightleftharpoons,
\rightrightarrows,
\rightsquigarrow,
\rightthreetimes,
\risingdotseq,
\rlap,"\rlap{\,/}{=}"
\rm,\rm AaBb12
\rmoustache,
\root,
\rotatebox,,"<a href='https://github.com/Khan/KaTeX/issues/681' target='_blank'>Issue #681</a>"
\rq,
\Rrightarrow,
\Rsh,
\rtimes,
\Rule,,"see \rule"
\rule,x\rule[6pt]{2ex}{1ex}x
\rVert,
\rvert,
\S,\text{\S}
\Sampi,
\sampi,
\scalebox,
\scr,,"See \mathscr"
\scriptscriptstyle,\scriptscriptstyle \frac cd
\scriptsize,\scriptsize scriptsize
\scriptstyle,\frac ab + {\scriptstyle \frac cd}
\sdot,
\searrow,
\sec,
\sect,
\setlength,,"<a href='https://github.com/Khan/KaTeX/issues/687' target='_blank'>Issue #687</a>"
\setminus,
\sf,\sf AaBb123
\sharp,
\shortmid,
\shortparallel,
\shoveleft,
\shoveright,
\sideset,
\Sigma,
\sigma,
\sim,
\simeq,
\sin,
\sinh,
\sixptsize,\sixptsize sixptsize
\sh,
\skew,
\skip,
\small,\small small
\smallfrown,
\smallint,
{smallmatrix},
\smallsetminus,
\smallsmile,
\smash,\left(x^{\smash{2}}\right)
\smile,
\smiley,
\sout,\sout{abc}
\Space,,"see \space"
\space,a\space{b}
\spades,
\spadesuit,
\sphericalangle,
{split},,"<a href='https://github.com/Khan/KaTeX/issues/1345' target='_blank'>Issue #1345</a>"
\sqcap,
\sqcup,
\square,
\sqrt,\sqrt[3]{x}
\sqsubset,
\sqsubseteq,
\sqsupset,
\sqsupseteq,
\ss,\text{\ss}
\stackrel,\stackrel{!}{=}
\star,
\Stigma,
\stigma,
\strut,
\style,,"Non standard"
\SUB,
{subarray},
\sube,
\Subset,
\subset,
\subseteq,
\subseteqq,
\subsetneq,
\subsetneqq,
\substack,
\succ,
\succapprox,
\succcurlyeq,
\succeq,
\succnapprox,
\succneqq,
\succnsim,
\succsim,
\sum,
\sup,
\supe,
\Supset,
\supset,
\supseteq,
\supseteqq,
\supsetneq,
\supsetneqq,
\surd,
\swarrow,
\tag,\tag{3.1c} a^2+b^2=c^2
\tag*,\tag*{3.1c} a^2+b^2=c^2
\tan,
\tanh,
\Tau,
\tau,
\tbinom,\tbinom n k
\TeX,
\text,\text{ yes }\&\text{ no }
\textasciitilde,\text{\textasciitilde}
\textbar,\text{\textbar}
\textbardbl,\text{\textbardbl}
\textbf,\textbf{AaBb123}
\textbraceleft,\text{\textbraceleft}
\textbraceright,\text{\textbraceright}
\textcircled,\text{\textcircled a}
\textcolor,\textcolor{blue}{F=ma}
\textdagger,\text{\textdagger}
\textdaggerdbl,\text{\textdaggerdbl}
\textdegree,\text{\textdegree}
\textdollar,\text{\textdollar}
\textellipsis,\text{\textellipsis}
\textemdash,\text{\textemdash}
\textendash,\text{\textendash}
\textgreater,\text{\textgreater}
\textit,\textit{AaBb}
\textless,\text{\textless}
\textnormal,\textnormal{AB}
\textquotedblleft,\text{\textquotedblleft}
\textquotedblright,\text{\textquotedblright}
\textquoteleft,\text{\textquoteleft}
\textquoteright,\text{\textquoteright}
\textregistered,\text{\textregistered}
\textrm,\textrm{AaBb123}
\textsc,,"<a href='https://github.com/Khan/KaTeX/issues/471' target='_blank'>Issue #471</a>"
\textsf,\textsf{AaBb123}
\textsterling,\text{\textsterling}
\textstyle,\textstyle\sum_0^n
\texttip,
\texttt,\texttt{AaBb123}
\textunderscore,\text{\textunderscore}
\textvisiblespace,
\tfrac,\tfrac ab
\tg,
\th,
\therefore,
\Theta,
\theta,
\thetasym,
\thickapprox,
\thicksim,
\thickspace,a\thickspace b
\thinspace,a\thinspace b
\tilde,\tilde M
\times,
\Tiny,,"see \tiny"
\tiny,\tiny tiny
\to,
\toggle,
\top,
\triangle,
\triangledown,
\triangleleft,
\trianglelefteq,
\triangleq,
\triangleright,
\trianglerighteq,
\tt,{\tt AaBb123}
\twoheadleftarrow,
\twoheadrightarrow,
\u,\text{\u{a}}
\Uarr,
\uArr,
\uarr,
\ulcorner,
\underbrace,\underbrace{x+⋯+x}_{n\text{ times}}
\underbracket,
\undergroup,\undergroup{AB}
\underleftarrow,\underleftarrow{AB}
\underleftrightarrow,\underleftrightarrow{AB}
\underrightarrow,\underrightarrow{AB}
\underline,\underline{\text{a long argument}}
\underlinesegment,\underlinesegment{AB}
\underparen,,"See \undergroup"
\underrightarrow,\underrightarrow{AB}
\underset,\underset{!}{=}
\unicode,
\unlhd,
\unrhd,
\Uparrow,
\uparrow,
\Updownarrow,
\updownarrow,
\upharpoonleft,
\upharpoonright,
\uplus,
\uproot,
\Upsilon,
\upsilon,
\upuparrows,
\urcorner,
\url,,"In master"
\utilde,\utilde{AB}
\v,\text{\v{a}}
\varcoppa,
\varDelta,
\varepsilon,
\varGamma,
\varinjlim,
\varkappa,
\varLambda,
\varliminf,
\varlimsup,
\varnothing,
\varOmega,
\varPhi,
\varphi,
\varPi,
\varpi,
\varprojlim,
\varpropto,
\varPsi,
\varPsi,
\varrho,
\varSigma,
\varsigma,
\varstigma,
\varsubsetneq,
\varsubsetneqq,
\varsupsetneq,
\varsupsetneqq,
\varTheta,
\vartheta,
\vartriangle,
\vartriangleleft,
\vartriangleright,
\varUpsilon,
\varXi,
\vcentcolon,
\vcenter,
\Vdash,
\vDash,
\vdash,
\vdots,
\vec,\vec{F}
\vee,
\veebar,
\verb,\verb!\frac a b!
\Vert,
\vert,
\vfil,
\vfill,
\vline,,"<a href='https://github.com/Khan/KaTeX/issues/269' target='_blank'>Issue #269</a>"
{Vmatrix},"\begin{Vmatrix}
   a & b \\
   c & d
\end{Vmatrix}"
{vmatrix},"\begin{vmatrix}
   a & b \\
   c & d
\end{vmatrix}"
\vphantom,\overline{\vphantom{M}a}
\Vvdash,
\wedge,
\weierp,,"See \wp"
\widecheck,\widecheck{AB}
\widehat,\widehat{AB}
\wideparen,,"<a href='https://github.com/Khan/KaTeX/issues/560' target='_blank'>Issue #560</a>"
\widetilde,\widetilde{AB}
\wp,
\wr,
\xcancel,\xcancel{ABC}
\Xi,
\xi,
\xhookleftarrow,\xhookleftarrow{abc}
\xhookrightarrow,\xhookrightarrow{abc}
\xLeftarrow,\xLeftarrow{abc}
\xleftarrow,\xleftarrow{abc}
\xleftharpoondown,\xleftharpoondown{abc}
\xleftharpoonup,\xleftharpoonup{abc}
\xLeftrightarrow,\xLeftrightarrow{abc}
\xleftrightarrow,\xleftrightarrow{abc}
\xleftrightharpoons,\xleftrightharpoons{abc}
\xlongequal,\xlongequal{abc}
\xmapsto,\xmapsto{abc}
\xRightarrow,\xRightarrow{abc}
\xrightarrow,\xrightarrow{abc}
\xrightharpoondown,\xrightharpoondown{abc}
\xrightharpoonup,\xrightharpoonup{abc}
\xrightleftharpoons,\xrightleftharpoons{abc}
\xtofrom,\xtofrom{abc}
\xtwoheadleftarrow,\xtwoheadleftarrow{abc}
\xtwoheadrightarrow,\xtwoheadrightarrow{abc}
\yen,
\Z,,"See \Bbb{Z}"
\Zeta,
\zeta,
